Generating SQLite file profile_lift_part_i32_2p28_sel2p8_ent0p201.sqlite from profile_lift_part_i32_2p28_sel2p8_ent0p201.nsys-rep
Processing [profile_lift_part_i32_2p28_sel2p8_ent0p201.sqlite] with [/opt/nvidia/nsight-compute/2025.4.1/host/target-linux-x64/reports/cuda_gpu_trace.py]... 
Start (ns),Duration (ns),CorrId,GrdX,GrdY,GrdZ,BlkX,BlkY,BlkZ,Reg/Trd,StcSMem (MB),DymSMem (MB),Bytes (MB),Throughput (MB/s),SrcMemKd,DstMemKd,Device,Ctx,GreenCtx,Strm,Name
826955286,271584,1198,524288,1,1,256,1,1,16,0.000,0.000,,,,,NVIDIA B200 (0),1,,7,"void cub::_V_300500_SM_1000::detail::for_each::static_kernel<cub::_V_300500_SM_1000::detail::for_each::policy_selector, unsigned long, thrust::_V_300500_SM_1000::cuda_cub::__uninitialized_fill::functor<thrust::_V_300500_SM_1000::device_ptr<int>, int>>(T2, T3)"
827849047,293984,1803,524288,1,1,256,1,1,16,0.000,0.000,,,,,NVIDIA B200 (0),1,,7,"void cub::_V_300500_SM_1000::detail::for_each::static_kernel<cub::_V_300500_SM_1000::detail::for_each::policy_selector, unsigned long, thrust::_V_300500_SM_1000::cuda_cub::__uninitialized_fill::functor<thrust::_V_300500_SM_1000::device_ptr<double>, double>>(T2, T3)"
831672314,130881,1817,64,1,1,64,1,1,32,0.000,0.000,,,,,NVIDIA B200 (0),1,,7,"void generate_seed_pseudo<rng_config<curandStateXORWOW, (curandOrdering)101>>(unsigned long long, unsigned long long, unsigned long long, curandOrdering, curandStateXORWOW *, unsigned int *)"
833518812,1858978,1824,64,1,1,64,1,1,32,0.000,0.000,,,,,NVIDIA B200 (0),1,,7,"void gen_sequenced<curandStateXORWOW, double, int, &curand_uniform_double_noargs<curandStateXORWOW>, rng_config<curandStateXORWOW, (curandOrdering)101>>(T1 *, T2 *, unsigned long, unsigned long, T3)"
835385182,457025,1842,524288,1,1,128,1,1,16,0.000,0.004,,,,,NVIDIA B200 (0),1,,7,"void cub::_V_300500_SM_1000::detail::transform::transform_kernel<cub::_V_300500_SM_1000::detail::transform::policy_selector_from_types<(bool)0, (bool)1, cuda::std::__4::tuple<const double *>, int *>, int, cuda::__4::always_true, cuda::__4::__callable_permitting_copied_arguments<detail::random_to_item_t<int>>, int *, const double *>(T2, int, bool, T3, T4, T5, cub::_V_300500_SM_1000::detail::transform::kernel_arg<T6>...)"
836142239,272096,1855,524288,1,1,256,1,1,16,0.000,0.000,,,,,NVIDIA B200 (0),1,,7,"void cub::_V_300500_SM_1000::detail::for_each::static_kernel<cub::_V_300500_SM_1000::detail::for_each::policy_selector, unsigned long, thrust::_V_300500_SM_1000::cuda_cub::__uninitialized_fill::functor<thrust::_V_300500_SM_1000::device_ptr<int>, int>>(T2, T3)"
836428383,147008,1866,64,1,1,64,1,1,32,0.000,0.000,,,,,NVIDIA B200 (0),1,,7,"void generate_seed_pseudo<rng_config<curandStateXORWOW, (curandOrdering)101>>(unsigned long long, unsigned long long, unsigned long long, curandOrdering, curandStateXORWOW *, unsigned int *)"
836585663,1853794,1871,64,1,1,64,1,1,32,0.000,0.000,,,,,NVIDIA B200 (0),1,,7,"void gen_sequenced<curandStateXORWOW, double, int, &curand_uniform_double_noargs<curandStateXORWOW>, rng_config<curandStateXORWOW, (curandOrdering)101>>(T1 *, T2 *, unsigned long, unsigned long, T3)"
838438977,456833,1877,524288,1,1,128,1,1,16,0.000,0.004,,,,,NVIDIA B200 (0),1,,7,"void cub::_V_300500_SM_1000::detail::transform::transform_kernel<cub::_V_300500_SM_1000::detail::transform::policy_selector_from_types<(bool)0, (bool)1, cuda::std::__4::tuple<const double *>, int *>, int, cuda::__4::always_true, cuda::__4::__callable_permitting_copied_arguments<detail::random_to_item_t<int>>, int *, const double *>(T2, int, bool, T3, T4, T5, cub::_V_300500_SM_1000::detail::transform::kernel_arg<T6>...)"
838922978,452000,1899,524288,1,1,128,1,1,16,0.000,0.004,,,,,NVIDIA B200 (0),1,,7,"void cub::_V_300500_SM_1000::detail::transform::transform_kernel<cub::_V_300500_SM_1000::detail::transform::policy_selector_from_types<(bool)0, (bool)1, cuda::std::__4::tuple<int *, int *>, int *>, int, cuda::__4::always_true, cuda::__4::__callable_permitting_copied_arguments<detail::and_t>, int *, int *, int *>(T2, int, bool, T3, T4, T5, cub::_V_300500_SM_1000::detail::transform::kernel_arg<T6>...)"
